iter	Passed	Remaining
899	1342	149
900	1343	147
901	1344	146
902	1346	144
903	1347	143
904	1348	141
905	1350	140
906	1352	138
907	1353	137
908	1354	135
909	1355	134
910	1356	132
911	1358	131
912	1359	129
913	1360	128
914	1361	126
915	1363	125
916	1364	123
917	1365	122
918	1367	120
919	1368	118
920	1369	117
921	1370	115
922	1371	114
923	1373	112
924	1374	111
925	1375	109
926	1376	108
927	1390	107
928	1393	106
929	1396	105
930	1398	103
931	1402	102
932	1405	100
933	1408	99
934	1410	98
935	1414	96
936	1416	95
937	1419	93
938	1422	92
939	1425	91
940	1428	89
941	1430	88
942	1433	86
943	1436	85
944	1439	83
945	1442	82
946	1445	80
947	1448	79
948	1450	77
949	1452	76
950	1453	74
951	1455	73
952	1457	71
953	1458	70
954	1460	68
955	1461	67
956	1462	65
957	1463	64
958	1465	62
959	1466	61
960	1467	59
961	1468	58
962	1469	56
963	1471	54
964	1472	53
965	1473	51
966	1475	50
967	1476	48
968	1477	47
969	1478	45
970	1479	44
971	1480	42
972	1482	41
973	1483	39
974	1484	38
975	1485	36
976	1487	35
977	1488	33
978	1489	31
979	1490	30
980	1492	28
981	1493	27
982	1494	25
983	1495	24
984	1496	22
985	1497	21
986	1499	19
987	1500	18
988	1501	16
989	1502	15
990	1504	13
991	1505	12
992	1506	10
993	1507	9
994	1508	7
995	1509	6
996	1511	4
997	1512	3
998	1513	1
999	1514	0
